path,matched_place,distance_km_from_sholavaram,status,north_chennai_industrial_belt
/en/locations/hosur/,hosur,259.8,OUT_OF_RADIUS,no
/en/locations/kancheepuram/,kancheepuram,68.5,OUT_OF_RADIUS,no
/en/crane-insurance-oragadam/,oragadam,55.0,OUT_OF_RADIUS,no
/en/locations/oragadam-outskirts/,oragadam,55.0,OUT_OF_RADIUS,no
/en/locations/oragadam/,oragadam,55.0,OUT_OF_RADIUS,no
/en/machinery-breakdown-insurance-oragadam/,oragadam,55.0,OUT_OF_RADIUS,no
/en/contractor-insurance-maraimalai-nagar/,maraimalai-nagar,52.6,OUT_OF_RADIUS,no
/en/locations/maraimalai-nagar/,maraimalai-nagar,52.6,OUT_OF_RADIUS,no
/en/contractor-insurance-sriperumbudur/,sriperumbudur,39.1,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/crane-insurance-sriperumbudur/,sriperumbudur,39.1,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/sriperumbudur-sipcot/,sriperumbudur,39.1,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/sriperumbudur/,sriperumbudur,39.1,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/sholinganallur/,sholinganallur,38.2,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/professional-indemnity-do-insurance-sholinganallur/,sholinganallur,38.2,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/bike-insurance-tambaram/,tambaram,35.8,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/insurance-company-tambaram/,tambaram,35.8,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/tambaram/,tambaram,35.8,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/medavakkam/,medavakkam,35.5,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/chrompet/,chrompet,32.3,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/sidco-thirumudivakkam/,sidco,30.9,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/car-insurance-velachery/,velachery,29.3,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/insurance-company-velachery/,velachery,29.3,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/velachery/,velachery,29.3,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/adyar/,adyar,28.2,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/alandur-st-thomas-mount/,alandur-st-thomas-mount,26.7,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/liability-insurance-guindy/,guindy,25.8,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/guindy/,guindy,25.8,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/machinery-breakdown-insurance-guindy/,guindy,25.8,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/office-insurance-guindy/,guindy,25.8,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/mylapore/,mylapore,25.5,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/kuthambakkam/,kuthambakkam,25.2,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/chembarambakkam/,chembarambakkam,24.9,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/ekkatuthangal/,ekkatuthangal,24.5,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/thirumazhisai/,thirumazhisai,23.4,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/auto-rickshaw-insurance-porur/,porur,23.3,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/porur/,porur,23.3,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/insurance-company-t-nagar/,t-nagar,23.0,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/t-nagar/,t-nagar,23.0,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/poonamallee-bypass/,poonamallee,22.1,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/poonamallee/,poonamallee,22.1,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/tempo-insurance-poonamallee/,poonamallee,22.1,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/velappanchavadi/,velappanchavadi,21.8,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/nungambakkam/,nungambakkam,21.2,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/locations/egmore/,egmore,21.0,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/affordable-insurance-chennai/,chennai,20.6,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/best-insurance-agent-chennai/,chennai,20.6,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/best-insurance-company-chennai/,chennai,20.6,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/cashless-health-insurance-chennai/,chennai,20.6,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/catering-event-business-insurance-chennai/,chennai,20.6,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/daycare-coaching-center-insurance-chennai/,chennai,20.6,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/diagnostic-lab-pharmacy-insurance-chennai/,chennai,20.6,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
/en/doorstep-insurance-service-chennai/,chennai,20.6,IN_RADIUS_BUT_OUTSIDE_TARGET_BELT,no
